156.71,CLICK,2311,958
159.14,CLICK,-968,1215
167.19,CLICK,2406,883
168.62,CLICK,1113,0
170.27,CLICK,2635,21
172.38,CLICK,1746,1270
174.73,CLICK,1887,608
175.6,CLICK,-354,383
177.75,CLICK,-1822,428
187.87,CLICK,1926,1161
192.03,CLICK,-755,396
193.31,SCROLL,0,-1
193.34,SCROLL,0,-1
193.86,SCROLL,0,-1
193.88,SCROLL,0,-1
193.89,SCROLL,0,-1
193.9,SCROLL,0,-1
193.91,SCROLL,0,-1
193.93,SCROLL,0,-1
194.96,SCROLL,0,-1
194.97,SCROLL,0,-1
194.99,SCROLL,0,-1
195.0,SCROLL,0,-1
197.25,SCROLL,0,-1
197.28,SCROLL,0,-1
197.29,SCROLL,0,-1
197.32,SCROLL,0,-1
199.06,SCROLL,0,-1
199.68,SCROLL,0,-1
199.7,SCROLL,0,-1
199.71,SCROLL,0,-1
199.73,SCROLL,0,-1
199.74,SCROLL,0,-1
199.76,SCROLL,0,-1
203.58,SCROLL,0,-1
203.59,SCROLL,0,-1
203.6,SCROLL,0,-1
203.6,SCROLL,0,-1
203.61,SCROLL,0,-1
203.61,SCROLL,0,-1
203.63,SCROLL,0,-1
203.98,SCROLL,0,-1
204.0,SCROLL,0,-1
204.0,SCROLL,0,-1
204.01,SCROLL,0,-1
204.02,SCROLL,0,-1
204.02,SCROLL,0,-1
204.03,SCROLL,0,-1
204.04,SCROLL,0,-1
204.34,SCROLL,0,-1
204.36,SCROLL,0,-1
204.36,SCROLL,0,-1
204.37,SCROLL,0,-1
204.38,SCROLL,0,-1
204.38,SCROLL,0,-1
204.74,SCROLL,0,-1
204.75,SCROLL,0,-1
204.76,SCROLL,0,-1
204.76,SCROLL,0,-1
204.77,SCROLL,0,-1
204.78,SCROLL,0,-1
204.78,SCROLL,0,-1
205.12,SCROLL,0,-1
205.14,SCROLL,0,-1
205.15,SCROLL,0,-1
205.15,SCROLL,0,-1
205.16,SCROLL,0,-1
205.17,SCROLL,0,-1
205.17,SCROLL,0,-1
205.19,SCROLL,0,-1
208.53,CLICK,674,1247
214.47,SCROLL,0,-1
214.48,SCROLL,0,-1
214.5,SCROLL,0,-1
214.51,SCROLL,0,-1
214.52,SCROLL,0,-1
214.54,SCROLL,0,-1
214.93,SCROLL,0,-1
214.95,SCROLL,0,-1
214.96,SCROLL,0,-1
214.97,SCROLL,0,-1
214.99,SCROLL,0,-1
215.56,SCROLL,0,-1
215.57,SCROLL,0,-1
215.58,SCROLL,0,-1
215.59,SCROLL,0,-1
215.6,SCROLL,0,-1
215.61,SCROLL,0,-1
216.27,SCROLL,0,-1
216.29,SCROLL,0,-1
216.3,SCROLL,0,-1
216.31,SCROLL,0,-1
216.32,SCROLL,0,-1
216.33,SCROLL,0,-1
216.34,SCROLL,0,-1
217.07,SCROLL,0,-1
217.09,SCROLL,0,-1
217.1,SCROLL,0,-1
217.11,SCROLL,0,-1
217.12,SCROLL,0,-1
217.13,SCROLL,0,-1
217.57,SCROLL,0,-1
217.59,SCROLL,0,-1
217.6,SCROLL,0,-1
217.61,SCROLL,0,-1
217.62,SCROLL,0,-1
217.63,SCROLL,0,-1
228.5,CLICK,-424,591
229.84,CLICK,3143,426
230.81,CLICK,2857,357
231.68,CLICK,3150,64
233.06,CLICK,3257,321
234.28,CLICK,3157,335
235.27,CLICK,3201,681
239.85,CLICK,1475,28
240.88,CLICK,1561,63
242.12,CLICK,1130,14
243.51,CLICK,1571,62
244.15,CLICK,924,261
246.79,CLICK,1347,171
250.02,CLICK,690,489
250.43,CLICK,692,490
251.19,CLICK,703,505
258.02,CLICK,880,877
260.72,CLICK,2192,866
330.84,CLICK,922,285
331.61,CLICK,922,285
332.45,CLICK,1247,493
337.95,CLICK,1329,471
339.7,CLICK,2375,606
345.3,CLICK,1657,222
346.67,CLICK,145,350
346.94,CLICK,141,377
347.21,CLICK,141,386
347.6,CLICK,142,386
349.47,CLICK,1665,31
352.18,CLICK,138,428
352.84,CLICK,132,467
354.04,CLICK,105,736
354.84,CLICK,111,723
355.26,CLICK,109,680
356.17,CLICK,103,609
356.75,CLICK,113,536
357.25,CLICK,101,384
357.65,CLICK,135,337
357.84,CLICK,142,333
362.22,SCROLL,0,-1
362.23,SCROLL,0,-1
362.24,SCROLL,0,-1
362.24,SCROLL,0,-1
362.25,SCROLL,0,-1
362.26,SCROLL,0,-1
362.27,SCROLL,0,-1
362.65,SCROLL,0,-1
367.6,CLICK,3366,19
369.41,CLICK,2220,597
370.93,CLICK,1340,264
372.35,CLICK,1729,1271
373.94,CLICK,-286,377
375.48,CLICK,-1825,431
379.98,CLICK,1959,1160
383.89,CLICK,-714,378
388.01,CLICK,825,247
388.16,CLICK,825,247
400.89,CLICK,-978,1243
531.49,SCROLL,0,-1
531.51,SCROLL,0,-1
531.53,SCROLL,0,-1
531.55,SCROLL,0,-1
533.33,CLICK,-390,897
534.72,CLICK,3427,10
537.05,CLICK,2171,603
540.62,CLICK,2006,606
541.31,CLICK,1913,606
543.22,CLICK,-349,386
545.08,CLICK,-1827,426
547.14,CLICK,2145,594
548.8,CLICK,2412,1340
551.22,CLICK,-882,397
551.9,CLICK,-727,385
552.79,CLICK,-417,898
553.82,CLICK,2380,1346
559.77,SCROLL,0,-1
559.79,SCROLL,0,-1
559.8,SCROLL,0,-1
559.82,SCROLL,0,-1
561.57,CLICK,-421,727
562.75,CLICK,3080,365
570.49,SCROLL,0,-1
570.51,SCROLL,0,-1
570.52,SCROLL,0,-1
570.53,SCROLL,0,-1
570.55,SCROLL,0,-1
570.85,SCROLL,0,-1
